listing_a,listing_b,category,comparable,confidence,reason
Cadbury Dairy Milk Furry Friends Chocolate Multipack 100g,Kit Kat Chocolate Milk 4 Finger Bar,milk,false,0,"Variant mismatch: ""furry friends"""
Cadbury Dairy Milk Furry Friends Chocolate Multipack 100g,Dairy Full Cream Milk,milk,false,0,"Variant mismatch: ""full cream"""
Cadbury Dairy Milk Chocolate Freddo 12 pack 144g,Dairy Milk Block Chocolate,milk,false,0,"Variant mismatch: ""block chocolate"""
Cadbury Dairy Milk Chocolate Freddo 12 pack 144g,Kit Kat Chocolate Milk 4 Finger Bar,milk,false,0,"Variant mismatch: ""freddo"""
Cadbury Dairy Milk Chocolate Freddo 12 pack 144g,Dairy Full Cream Milk,milk,false,0,"Variant mismatch: ""full cream"""
Norco Full Cream Milk 1L,Farmhouse Gold Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Norco Full Cream Milk 1L,Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Norco Full Cream Milk 1L,Dairy Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Norco Full Cream Milk 1L,Smarter White Milk 2% Fat Full Cream Taste,milk,true,82,Good match: 3 shared keywords
Norco Full Cream Milk 1L,Fresh Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Dairy Farmers Heart Active Light Milk 1L,High Protein Light Milk,milk,false,0,"Variant mismatch: ""heart active"""
Dairy Farmers Heart Active Light Milk 1L,Light Milk,milk,false,0,"Variant mismatch: ""heart active"""
Dairy Farmers Heart Active Light Milk 1L,Light Start Milk,milk,false,0,"Variant mismatch: ""heart active"""
Pauls Zymil Lactose Free Full Cream Milk 2L,Zymil Lactose Free Full Cream Milk,milk,true,95,Strong match: 5 shared keywords
Pauls Zymil Lactose Free Full Cream Milk 2L,Lactose Free Full Cream Milk,milk,true,95,Strong match: 4 shared keywords
Dairy Farmers Full Cream Milk 1L,Farmhouse Gold Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Dairy Farmers Full Cream Milk 1L,Dairy Milk Block Chocolate,milk,false,0,"Variant mismatch: ""full cream"""
Dairy Farmers Full Cream Milk 1L,Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Dairy Farmers Full Cream Milk 1L,Dairy Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Dairy Farmers Full Cream Milk 1L,Smarter White Milk 2% Fat Full Cream Taste,milk,true,82,Good match: 3 shared keywords
Dairy Farmers Full Cream Milk 1L,Fresh Full Cream Milk,milk,true,82,Good match: 3 shared keywords
KitKat Milk Chocolate Mini Bars 18 pack,Dairy Milk Block Chocolate,milk,false,0,"Variant mismatch: ""block chocolate"""
KitKat Milk Chocolate Mini Bars 18 pack,Kit Kat Chocolate Milk 4 Finger Bar,milk,false,0,"Variant mismatch: ""mini"""
Farmers Own Full Cream Milk 3L,Farmhouse Gold Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Farmers Own Full Cream Milk 3L,Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Farmers Own Full Cream Milk 3L,Dairy Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Farmers Own Full Cream Milk 3L,Smarter White Milk 2% Fat Full Cream Taste,milk,true,82,Good match: 3 shared keywords
Farmers Own Full Cream Milk 3L,Fresh Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Woolworths Full Cream Milk 3L,Farmhouse Gold Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Woolworths Full Cream Milk 3L,Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Woolworths Full Cream Milk 3L,Dairy Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Woolworths Full Cream Milk 3L,Smarter White Milk 2% Fat Full Cream Taste,milk,true,82,Good match: 3 shared keywords
Woolworths Full Cream Milk 3L,Fresh Full Cream Milk,milk,true,82,Good match: 3 shared keywords
M&M's Minis Milk Chocolate Snack & Share Bag 145g,Dairy Milk Block Chocolate,milk,false,0,"Variant mismatch: ""block chocolate"""
M&M's Minis Milk Chocolate Snack & Share Bag 145g,Kit Kat Chocolate Milk 4 Finger Bar,milk,false,0,"Variant mismatch: ""kit kat"""
M&M's Milk Chocolate Snack & Share Bag 180g,Dairy Milk Block Chocolate,milk,false,0,"Variant mismatch: ""block chocolate"""
M&M's Milk Chocolate Snack & Share Bag 180g,Kit Kat Chocolate Milk 4 Finger Bar,milk,false,0,"Variant mismatch: ""kit kat"""
M&M's Crispy Milk Chocolate Snack & Share Bag 145g,Dairy Milk Block Chocolate,milk,false,0,"Variant mismatch: ""block chocolate"""
M&M's Crispy Milk Chocolate Snack & Share Bag 145g,Kit Kat Chocolate Milk 4 Finger Bar,milk,false,0,"Variant mismatch: ""kit kat"""
Dairy Farmers Full Cream Milk 2L,Farmhouse Gold Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Dairy Farmers Full Cream Milk 2L,Dairy Milk Block Chocolate,milk,false,0,"Variant mismatch: ""full cream"""
Dairy Farmers Full Cream Milk 2L,Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Dairy Farmers Full Cream Milk 2L,Dairy Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Dairy Farmers Full Cream Milk 2L,Smarter White Milk 2% Fat Full Cream Taste,milk,true,82,Good match: 3 shared keywords
Dairy Farmers Full Cream Milk 2L,Fresh Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Pauls Zymil Lactose Free Full Cream Milk 1L,Zymil Lactose Free Full Cream Milk,milk,true,95,Strong match: 5 shared keywords
Pauls Zymil Lactose Free Full Cream Milk 1L,Lactose Free Full Cream Milk,milk,true,95,Strong match: 4 shared keywords
Cadbury Crunchie Milk Chocolate Mini Bars 12 pack,Dairy Milk Block Chocolate,milk,false,0,"Variant mismatch: ""block chocolate"""
Cadbury Crunchie Milk Chocolate Mini Bars 12 pack,Kit Kat Chocolate Milk 4 Finger Bar,milk,false,0,"Variant mismatch: ""kit kat"""
Norco Full Cream Milk 3L,Farmhouse Gold Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Norco Full Cream Milk 3L,Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Norco Full Cream Milk 3L,Dairy Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Norco Full Cream Milk 3L,Smarter White Milk 2% Fat Full Cream Taste,milk,true,82,Good match: 3 shared keywords
Norco Full Cream Milk 3L,Fresh Full Cream Milk,milk,true,82,Good match: 3 shared keywords
Woolworths Free From Lactose Full Cream Milk 1L,Farmhouse Gold Full Cream Milk,milk,false,0,"Variant mismatch: ""free from lactose"""
Woolworths Free From Lactose Full Cream Milk 1L,Full Cream Milk,milk,false,0,"Variant mismatch: ""free from lactose"""
Woolworths Free From Lactose Full Cream Milk 1L,Dairy Full Cream Milk,milk,false,0,"Variant mismatch: ""free from lactose"""
Woolworths Free From Lactose Full Cream Milk 1L,Smarter White Milk 2% Fat Full Cream Taste,milk,false,0,"Variant mismatch: ""free from lactose"""
Woolworths Free From Lactose Full Cream Milk 1L,Fresh Full Cream Milk,milk,false,0,"Variant mismatch: ""free from lactose"""
Woolworths Multigrain Sandwich Hi-Fibre Bread 700g,Bread High Fibre Multigrain,bread,true,82,Good match: 3 shared keywords
Woolworths Multigrain Sandwich Hi-Fibre Bread 700g,High Fibre White Sandwich Bread,bread,false,0,"Variant mismatch: ""multigrain"""
Woolworths Multigrain Sandwich Hi-Fibre Bread 700g,High Fibre White Toast Bread,bread,false,0,"Variant mismatch: ""multigrain"""
Woolworths Multigrain Soft Sandwich Bread 650g,Bread High Fibre Multigrain,bread,true,65,Possible match: 2 shared keywords - human review needed
Woolworths Multigrain Soft Sandwich Bread 650g,High Fibre White Sandwich Bread,bread,false,0,"Variant mismatch: ""multigrain"""
Woolworths White Soft Toast Bread 650g,Rustic White Bread,bread,true,65,Possible match: 2 shared keywords - human review needed
Woolworths White Soft Toast Bread 650g,Bread + Vitamins Toast,bread,false,0,"Variant mismatch: ""vitamins"""
Woolworths White Soft Toast Bread 650g,The One White Toast Bread,bread,true,82,Good match: 3 shared keywords
Woolworths White Soft Toast Bread 650g,Raisin Toast Bread,bread,false,0,"Variant mismatch: ""raisin"""
Woolworths White Soft Toast Bread 650g,High Fibre White Sandwich Bread,bread,true,65,Possible match: 2 shared keywords - human review needed
Woolworths White Soft Toast Bread 650g,The One Bread White Sliced,bread,true,65,Possible match: 2 shared keywords - human review needed
Woolworths White Soft Toast Bread 650g,High Fibre White Toast Bread,bread,true,82,Good match: 3 shared keywords
Woolworths White Soft Toast Bread 650g,White Bread,bread,true,65,Possible match: 2 shared keywords - human review needed
Woolworths White Soft Toast Bread 650g,White Bread + Vitamins & Minerals,bread,false,0,"Variant mismatch: ""vitamins"""
Woolworths White Sandwich Bread Loaf 650g,Rustic White Bread,bread,true,65,Possible match: 2 shared keywords - human review needed
Woolworths White Sandwich Bread Loaf 650g,The One White Toast Bread,bread,true,65,Possible match: 2 shared keywords - human review needed
Woolworths White Sandwich Bread Loaf 650g,High Fibre White Sandwich Bread,bread,true,82,Good match: 3 shared keywords
Woolworths White Sandwich Bread Loaf 650g,The One Bread White Sliced,bread,true,65,Possible match: 2 shared keywords - human review needed
Woolworths White Sandwich Bread Loaf 650g,High Fibre White Toast Bread,bread,true,65,Possible match: 2 shared keywords - human review needed
Woolworths White Sandwich Bread Loaf 650g,White Bread,bread,true,65,Possible match: 2 shared keywords - human review needed
Woolworths White Sandwich Bread Loaf 650g,White Bread + Vitamins & Minerals,bread,false,0,"Variant mismatch: ""vitamins"""
Abbott's Bakery Harvest Seeds & Grains Sandwich Slice Bread Loaf 750g,Harvest Seeds And Grain Bread,bread,false,0,"Variant mismatch: ""grains"""
Abbott's Bakery Harvest Seeds & Grains Sandwich Slice Bread Loaf 750g,Country Grains Bread,bread,true,65,Possible match: 2 shared keywords - human review needed
Abbott's Bakery Harvest Seeds & Grains Sandwich Slice Bread Loaf 750g,High Fibre White Sandwich Bread,bread,false,0,"Variant mismatch: ""grains"""
Wonder White Bread Vitamins & Minerals Toast 700g,Rustic White Bread,bread,false,0,"Variant mismatch: ""vitamins"""
Wonder White Bread Vitamins & Minerals Toast 700g,Bread + Vitamins Toast,bread,true,82,Good match: 3 shared keywords
Wonder White Bread Vitamins & Minerals Toast 700g,The One White Toast Bread,bread,false,0,"Variant mismatch: ""vitamins"""
Wonder White Bread Vitamins & Minerals Toast 700g,Raisin Toast Bread,bread,false,0,"Variant mismatch: ""raisin"""
Wonder White Bread Vitamins & Minerals Toast 700g,High Fibre White Sandwich Bread,bread,false,0,"Variant mismatch: ""vitamins"""
Wonder White Bread Vitamins & Minerals Toast 700g,The One Bread White Sliced,bread,false,0,"Variant mismatch: ""vitamins"""
Wonder White Bread Vitamins & Minerals Toast 700g,High Fibre White Toast Bread,bread,false,0,"Variant mismatch: ""vitamins"""
Wonder White Bread Vitamins & Minerals Toast 700g,White Bread,bread,false,0,"Variant mismatch: ""vitamins"""
Wonder White Bread Vitamins & Minerals Toast 700g,White Bread + Vitamins & Minerals,bread,true,95,Strong match: 4 shared keywords
Wonder 5 Star Soft White High Fibre Bread Loaf 680g,Rustic White Bread,bread,true,65,Possible match: 2 shared keywords - human review needed
Wonder 5 Star Soft White High Fibre Bread Loaf 680g,The One White Toast Bread,bread,true,65,Possible match: 2 shared keywords - human review needed
Wonder 5 Star Soft White High Fibre Bread Loaf 680g,Bread High Fibre Multigrain,bread,false,0,"Variant mismatch: ""multigrain"""
Wonder 5 Star Soft White High Fibre Bread Loaf 680g,High Fibre White Sandwich Bread,bread,true,95,Strong match: 4 shared keywords
Wonder 5 Star Soft White High Fibre Bread Loaf 680g,The One Bread White Sliced,bread,true,65,Possible match: 2 shared keywords - human review needed
Wonder 5 Star Soft White High Fibre Bread Loaf 680g,High Fibre White Toast Bread,bread,true,95,Strong match: 4 shared keywords
Wonder 5 Star Soft White High Fibre Bread Loaf 680g,White Bread,bread,true,65,Possible match: 2 shared keywords - human review needed
Wonder 5 Star Soft White High Fibre Bread Loaf 680g,White Bread + Vitamins & Minerals,bread,false,0,"Variant mismatch: ""vitamins"""
Helga's Bread Traditional Wholemeal 750g,The One Wholemeal Sandwich Bread,bread,true,65,Possible match: 2 shared keywords - human review needed
Helga's Bread Traditional Wholemeal 750g,Bread Wholemeal Plus Iron,bread,true,65,Possible match: 2 shared keywords - human review needed
Helga's Bread Traditional Wholemeal 750g,Traditional Wholemeal Bread,bread,true,82,Good match: 3 shared keywords
Helga's Bread Traditional Wholemeal 750g,High Fibre Wholemeal Bread,bread,true,65,Possible match: 2 shared keywords - human review needed
Helga's Bread Traditional Wholemeal 750g,Farmhouse Wholemeal Bread,bread,true,65,Possible match: 2 shared keywords - human review needed
Tip Top 9 Grain Classic Sandwich Slice Bread Loaf Bakery 700g,Harvest Seeds And Grain Bread,bread,true,65,Possible match: 2 shared keywords - human review needed
Tip Top 9 Grain Classic Sandwich Slice Bread Loaf Bakery 700g,High Fibre White Sandwich Bread,bread,true,65,Possible match: 2 shared keywords - human review needed
Tip Top The One White Sandwich Slice Bread Loaf Bakery 700g,Rustic White Bread,bread,true,65,Possible match: 2 shared keywords - human review needed
Tip Top The One White Sandwich Slice Bread Loaf Bakery 700g,The One White Toast Bread,bread,true,82,Good match: 3 shared keywords
Tip Top The One White Sandwich Slice Bread Loaf Bakery 700g,High Fibre White Sandwich Bread,bread,true,82,Good match: 3 shared keywords
Tip Top The One White Sandwich Slice Bread Loaf Bakery 700g,The One Bread White Sliced,bread,true,82,Good match: 3 shared keywords
Tip Top The One White Sandwich Slice Bread Loaf Bakery 700g,High Fibre White Toast Bread,bread,true,65,Possible match: 2 shared keywords - human review needed
Tip Top The One White Sandwich Slice Bread Loaf Bakery 700g,White Bread,bread,true,65,Possible match: 2 shared keywords - human review needed
Tip Top The One White Sandwich Slice Bread Loaf Bakery 700g,White Bread + Vitamins & Minerals,bread,false,0,"Variant mismatch: ""vitamins"""
Tip Top The One White Toast Slice Bread Loaf Bakery 700g,Rustic White Bread,bread,true,65,Possible match: 2 shared keywords - human review needed
Tip Top The One White Toast Slice Bread Loaf Bakery 700g,Bread + Vitamins Toast,bread,false,0,"Variant mismatch: ""vitamins"""
Tip Top The One White Toast Slice Bread Loaf Bakery 700g,The One White Toast Bread,bread,true,95,Strong match: 4 shared keywords
Tip Top The One White Toast Slice Bread Loaf Bakery 700g,Raisin Toast Bread,bread,false,0,"Variant mismatch: ""raisin"""
Tip Top The One White Toast Slice Bread Loaf Bakery 700g,High Fibre White Sandwich Bread,bread,true,65,Possible match: 2 shared keywords - human review needed
Tip Top The One White Toast Slice Bread Loaf Bakery 700g,The One Bread White Sliced,bread,true,82,Good match: 3 shared keywords
Tip Top The One White Toast Slice Bread Loaf Bakery 700g,High Fibre White Toast Bread,bread,true,82,Good match: 3 shared keywords
Tip Top The One White Toast Slice Bread Loaf Bakery 700g,White Bread,bread,true,65,Possible match: 2 shared keywords - human review needed
Tip Top The One White Toast Slice Bread Loaf Bakery 700g,White Bread + Vitamins & Minerals,bread,false,0,"Variant mismatch: ""vitamins"""
Abbott's Bakery Rustic White Bread Sandwich Slice Loaf 700g,Rustic White Bread,bread,true,82,Good match: 3 shared keywords
Abbott's Bakery Rustic White Bread Sandwich Slice Loaf 700g,The One White Toast Bread,bread,true,65,Possible match: 2 shared keywords - human review needed
Abbott's Bakery Rustic White Bread Sandwich Slice Loaf 700g,High Fibre White Sandwich Bread,bread,true,82,Good match: 3 shared keywords
Abbott's Bakery Rustic White Bread Sandwich Slice Loaf 700g,The One Bread White Sliced,bread,true,65,Possible match: 2 shared keywords - human review needed
Abbott's Bakery Rustic White Bread Sandwich Slice Loaf 700g,High Fibre White Toast Bread,bread,true,65,Possible match: 2 shared keywords - human review needed
Abbott's Bakery Rustic White Bread Sandwich Slice Loaf 700g,White Bread,bread,true,65,Possible match: 2 shared keywords - human review needed
Abbott's Bakery Rustic White Bread Sandwich Slice Loaf 700g,White Bread + Vitamins & Minerals,bread,false,0,"Variant mismatch: ""vitamins"""
Wonder White Bread Vitamins & Minerals Sandwich 700g,Rustic White Bread,bread,false,0,"Variant mismatch: ""vitamins"""
Wonder White Bread Vitamins & Minerals Sandwich 700g,Bread + Vitamins Toast,bread,true,65,Possible match: 2 shared keywords - human review needed
Wonder White Bread Vitamins & Minerals Sandwich 700g,The One White Toast Bread,bread,false,0,"Variant mismatch: ""vitamins"""
Wonder White Bread Vitamins & Minerals Sandwich 700g,High Fibre White Sandwich Bread,bread,false,0,"Variant mismatch: ""vitamins"""
Wonder White Bread Vitamins & Minerals Sandwich 700g,The One Bread White Sliced,bread,false,0,"Variant mismatch: ""vitamins"""
Wonder White Bread Vitamins & Minerals Sandwich 700g,High Fibre White Toast Bread,bread,false,0,"Variant mismatch: ""vitamins"""
Wonder White Bread Vitamins & Minerals Sandwich 700g,White Bread,bread,false,0,"Variant mismatch: ""vitamins"""
Wonder White Bread Vitamins & Minerals Sandwich 700g,White Bread + Vitamins & Minerals,bread,true,95,Strong match: 4 shared keywords
Woolworths Wholemeal Sandwich Hi-Fibre Bread 700g,The One Wholemeal Sandwich Bread,bread,true,82,Good match: 3 shared keywords
Woolworths Wholemeal Sandwich Hi-Fibre Bread 700g,Bread Wholemeal Plus Iron,bread,true,65,Possible match: 2 shared keywords - human review needed
Woolworths Wholemeal Sandwich Hi-Fibre Bread 700g,Traditional Wholemeal Bread,bread,true,65,Possible match: 2 shared keywords - human review needed
Woolworths Wholemeal Sandwich Hi-Fibre Bread 700g,High Fibre Wholemeal Bread,bread,true,82,Good match: 3 shared keywords
